,name,main_category,address,distance_away
0,Upright Brewing,Bar,"240 N Broadway (at N Ross Ave), Portland, OR 97227",23
1,Rose Quarter,Concert Hall,"1 N Center Court St, Portland, OR 97227",246
2,Gluten Free Gem Portland,Bakery,"140 NE Broadway St, Portland, OR 97232",362
3,creo CHOCOLATE,Candy Store,"122 NE Broadway St, Portland, OR 97232",356
4,Moda Center,Stadium,"1 N Center Court St, Portland, OR 97227",385
5,Veterans Memorial Coliseum,Music Venue,"300 N Winning Way, Portland, OR 97227",279
6,Metropolis Cycle Repair,Bicycle Store,"2249 N Williams Ave (between Tillamook & Russell), Portland, OR 97227",512
7,Widmer Brothers Brewing,Brewery,"1 N Center Court St, Portland, OR 97227",407
8,Ex Novo Brewing,Bar,"2326 N Flint Ave (at NE Russell St), Portland, OR 97227",583
9,Ox,Argentinian Restaurant,"2225 NE M L King Blvd (btw NE Thompson & Sacramento St), Portland, OR 97212",736
