,Unnamed: 0_x,bike_station_location,name,main_category_x,address,price,rating,review_count,status,distance_away_x,Unnamed: 0_y,main_category_y,distance_away_y,Unnamed: 0,latitude,longitude,num_of_bikes
0,2,"45.51195046,-122.6141596",Apizza Scholls,Pizza,4741 SE Hawthorne Blvd,$$,4.0,1735,Open,82.51827717190247,4,Pizzeria,82,0,45.51195046,-122.6141596,2
1,3,"45.51195046,-122.6141596",Sapphire Hotel,Lounges,5008 SE Hawthorne Blvd,$$,4.5,487,Open,225.7936725004157,8,Cocktail Bar,216,0,45.51195046,-122.6141596,2
2,8,"45.51195046,-122.6141596",East Side Delicatessen,Delis,4626 SE Hawthorne Blvd,$,4.0,408,Open,33.46106830531426,1,Deli,28,0,45.51195046,-122.6141596,2
3,9,"45.51195046,-122.6141596",Zach's Shack,Fast Food,4611 SE Hawthorne Blvd,$,3.5,270,Open,58.98761878884557,2,Hot Dog Joint,55,0,45.51195046,-122.6141596,2
4,20,"45.54827571,-122.6111636",Noho's Hawaiian Cafe,Hawaiian,4627 NE Fremont St,$$,4.0,374,Open,340.5973570979499,12,Café,342,1,45.54827571,-122.6111636,0
5,35,"45.54827571,-122.6111636",Jim & Patty's Coffee,Coffee & Tea,4951 NE Fremont St,$$,4.0,268,Open,39.71059629900574,10,Café,38,1,45.54827571,-122.6111636,0
6,38,"45.54827571,-122.6111636",Fire On The Mountain,Barbeque,3443 NE 57th Ave,$$,3.5,599,Open,471.7238081478068,14,Pizzeria,488,1,45.54827571,-122.6111636,0
7,40,"45.553917,-122.6020709",Cully Central,Beer Gardens,4579 NE Cully Blvd,$$,5.0,208,Open,323.0375715370634,21,Beer Garden,313,2,45.553917,-122.6020709,0
8,50,"45.553917,-122.6020709",Bison Coffee House,Coffee & Tea,3941 NE Cully Blvd,$,4.5,158,Open,293.260540701753,22,Coffee Shop,301,2,45.553917,-122.6020709,0
9,51,"45.553917,-122.6020709",Fire On The Mountain,Barbeque,3443 NE 57th Ave,$$,3.5,599,Open,692.9414011437761,29,Pizzeria,686,2,45.553917,-122.6020709,0
10,60,"45.51658489,-122.6160378",Horse Brass Pub,British,4534 SE Belmont St,$$,4.0,729,Open,59.111547217092806,30,Pub,40,3,45.51658489,-122.6160378,3
11,63,"45.51658489,-122.6160378",Brazilian House,Food Trucks,4255 SE Belmont St,$,4.5,96,Open,176.66470472675385,34,Brazilian Restaurant,185,3,45.51658489,-122.6160378,3
12,74,"45.51658489,-122.6160378",Sivalai Thai Restaurant,Thai,4806 SE Stark St,$$,4.5,957,Open,355.5759959317808,36,Thai Restaurant,368,3,45.51658489,-122.6160378,3
13,76,"45.51658489,-122.6160378",Never Coffee,Coffee & Tea,4243 SE Belmont St,$$,4.0,185,Open,204.70453498666595,33,Coffee Shop,208,3,45.51658489,-122.6160378,3
