bike_station_location,latitude,longitude,num_of_bikes
"45.51195046,-122.6141596",45.51195046,-122.6141596,3
"45.54827571,-122.6111636",45.54827571,-122.6111636,6
"45.553917,-122.6020709",45.553917,-122.6020709,6
"45.51658489,-122.6160378",45.51658489,-122.6160378,3
"45.49333654,-122.6233971",45.49333654,-122.6233971,3
"45.50280906,-122.6535398",45.50280906,-122.6535398,10
"45.52175423,-122.6810794",45.52175423,-122.6810794,17
"45.50512504,-122.6533681",45.50512504,-122.6533681,18
"45.50356665,-122.6395279",45.50356665,-122.6395279,6
"45.51623176,-122.6360679",45.51623176,-122.6360679,14
"45.51147657,-122.6662856",45.51147657,-122.6662856,16
"45.51844688,-122.651685",45.51844688,-122.651685,18
"45.51515295,-122.665776",45.51515295,-122.665776,10
"45.51645917,-122.6189983",45.51645917,-122.6189983,11
"45.52373453,-122.6372065",45.52373453,-122.6372065,5
"45.52536699,-122.6725459",45.52536699,-122.6725459,14
"45.52976024,-122.6966429",45.52976024,-122.6966429,10
"45.53232501,-122.6824299",45.53232501,-122.6824299,18
"45.52196048,-122.6896772",45.52196048,-122.6896772,18
"45.51299715,-122.6567262",45.51299715,-122.6567262,6
"45.52374151,-122.6818129",45.52374151,-122.6818129,18
"45.52634601,-122.6941484",45.52634601,-122.6941484,10
"45.52826831,-122.6945615",45.52826831,-122.6945615,12
"45.56282546,-122.6747467",45.56282546,-122.6747467,15
"45.5286366,-122.6820195",45.5286366,-122.6820195,14
"45.5282777,-122.6766282",45.5282777,-122.6766282,12
"45.53211645,-122.6986304",45.53211645,-122.6986304,14
"45.5475928,-122.6667604",45.5475928,-122.6667604,18
"45.5027677,-122.6714408",45.5027677,-122.6714408,19
"45.52914205,-122.6987028",45.52914205,-122.6987028,18
"45.54998583,-122.6756573",45.54998583,-122.6756573,18
"45.55076344,-122.6668663",45.55076344,-122.6668663,12
"45.54107815,-122.6769716",45.54107815,-122.6769716,12
"45.52142066,-122.6726291",45.52142066,-122.6726291,18
"45.52279251,-122.6840124",45.52279251,-122.6840124,18
"45.50910258,-122.6735169",45.50910258,-122.6735169,27
"45.5123205,-122.6789108",45.5123205,-122.6789108,12
"45.50473239,-122.62528",45.50473239,-122.62528,3
"45.54830706,-122.6136768",45.54830706,-122.6136768,12
"45.51189243,-122.6113057",45.51189243,-122.6113057,5
"45.53290424,-122.68626",45.53290424,-122.68626,18
"45.52642975,-122.6347187",45.52642975,-122.6347187,3
"45.50523618,-122.6121104",45.50523618,-122.6121104,3
"45.56267617,-122.6946044",45.56267617,-122.6946044,3
"45.53893649,-122.6432884",45.53893649,-122.6432884,12
"45.51649676,-122.6307517",45.51649676,-122.6307517,12
"45.51633325,-122.6566324",45.51633325,-122.6566324,18
"45.55335313,-122.6669146",45.55335313,-122.6669146,12
"45.51222277,-122.6454261",45.51222277,-122.6454261,13
"45.54125782,-122.6966717",45.54125782,-122.6966717,2
"45.52643433,-122.6362449",45.52643433,-122.6362449,3
"45.55905507,-122.6427104",45.55905507,-122.6427104,5
"45.55908767,-122.6407517",45.55908767,-122.6407517,5
"45.53561394,-122.6636343",45.53561394,-122.6636343,12
"45.56197102,-122.6820369",45.56197102,-122.6820369,8
"45.49429475,-122.6719048",45.49429475,-122.6719048,15
"45.53146071,-122.659741",45.53146071,-122.659741,8
"45.53140997,-122.6574612",45.53140997,-122.6574612,8
"45.55645437,-122.6603794",45.55645437,-122.6603794,18
"45.52440674,-122.6497686",45.52440674,-122.6497686,18
"45.52297292,-122.6434118",45.52297292,-122.6434118,11
"45.50624163,-122.6633379",45.50624163,-122.6633379,18
"45.51202353,-122.6363119",45.51202353,-122.6363119,18
"45.55916922,-122.6514316",45.55916922,-122.6514316,3
"45.55913676,-122.6554307",45.55913676,-122.6554307,5
"45.52358836,-122.6619177",45.52358836,-122.6619177,6
"45.52507854,-122.6775563",45.52507854,-122.6775563,18
"45.5048393,-122.6296306",45.5048393,-122.6296306,18
"45.50468892,-122.6345551",45.50468892,-122.6345551,18
"45.51544427,-122.6846749",45.51544427,-122.6846749,11
"45.51507401,-122.6870298",45.51507401,-122.6870298,10
"45.50971347,-122.6777159",45.50971347,-122.6777159,18
"45.49913657,-122.6716433",45.49913657,-122.6716433,18
"45.53550403,-122.7006608",45.53550403,-122.7006608,18
"45.53409115,-122.6949424",45.53409115,-122.6949424,14
"45.53083126,-122.6815957",45.53083126,-122.6815957,18
"45.53080401,-122.6844227",45.53080401,-122.6844227,17
"45.53142501,-122.6895659",45.53142501,-122.6895659,12
"45.55902314,-122.6355462",45.55902314,-122.6355462,5
"45.56453067,-122.6305372",45.56453067,-122.6305372,3
"45.55568352,-122.6506644",45.55568352,-122.6506644,3
"45.54828551,-122.6508106",45.54828551,-122.6508106,6
"45.56251948,-122.6770306",45.56251948,-122.6770306,3
"45.55522233,-122.6818612",45.55522233,-122.6818612,18
"45.52649493,-122.6416328",45.52649493,-122.6416328,12
"45.53086696,-122.6658887",45.53086696,-122.6658887,14
"45.55458563,-122.6755413",45.55458563,-122.6755413,12
"45.55941042,-122.6685226",45.55941042,-122.6685226,18
"45.52487653,-122.6965141",45.52487653,-122.6965141,18
"45.53508224,-122.6505639",45.53508224,-122.6505639,12
"45.51936283,-122.6359928",45.51936283,-122.6359928,17
"45.5033655,-122.6447314",45.5033655,-122.6447314,18
