bike_station_location,name,main_category,address,distance_away
"45.51195046,-122.6141596",Por Que No,American Restaurant,4635 SE Hawthorne Blvd,21
"45.51195046,-122.6141596",East Side Delicatessen,Deli,4626 SE Hawthorne Blvd,28
"45.51195046,-122.6141596",Zach's Shack,Hot Dog Joint,4611 SE Hawthorne Blvd,55
"45.51195046,-122.6141596",Jaciva's,Bakery,4733 SE Hawthorne Blvd,60
"45.51195046,-122.6141596",Apizza Scholls,Pizzeria,4741 SE Hawthorne Blvd,82
"45.51195046,-122.6141596",QuarterWorld Arcade,Arcade,​4811 SE Hawthorne Blvd,113
"45.51195046,-122.6141596",Space Room Lounge,Lounge,4800 SE Hawthorne Blvd,100
"45.51195046,-122.6141596",Albina Press,Coffee Shop,5012 SE Hawthorne Blvd,227
"45.51195046,-122.6141596",Sapphire Hotel,Cocktail Bar,5008 SE Hawthorne Blvd,216
"45.51195046,-122.6141596",Portland Pet Supply,Pet Supplies Store,4242 SE Hawthorne Blvd,345
"45.54827571,-122.6111636",Jim & Patty's Coffee,Café,4951 NE Fremont St,38
"45.54827571,-122.6111636",Bang Bang,Cocktail Bar,4727 NE Fremont St,255
"45.54827571,-122.6111636",Noho's Hawaiian Cafe,Café,4627 NE Fremont St,342
"45.54827571,-122.6111636",Prince Coffee,Coffee Shop,4523 NE Fremont St,419
"45.54827571,-122.6111636",Fire On The Mountain,Pizzeria,3443 NE 57th Ave,488
"45.54827571,-122.6111636",McPeets Portland Pub,Lounge,4501 NE Fremont St,451
"45.54827571,-122.6111636",Grand Central Baking Company,Bakery,4440 NE Fremont St,476
"45.54827571,-122.6111636",Bison Coffee House,Coffee Shop,3941 NE Cully Blvd,653
"45.54827571,-122.6111636",Blackbird Wine Shop,Wine Bar,4323 NE Fremont St,594
"45.54827571,-122.6111636",Pizzicato Gourmet Pizza,Pizzeria,4217 NE Fremont St,690
"45.553917,-122.6020709",Starbucks,Coffee Shop,5850 NE Prescott St,69
"45.553917,-122.6020709",Cully Central,Beer Garden,4579 NE Cully Blvd,313
"45.553917,-122.6020709",Bison Coffee House,Coffee Shop,3941 NE Cully Blvd,301
"45.553917,-122.6020709",Rite Aid,Drugstore,4346 NE Cully Blvd,93
"45.553917,-122.6020709",7-Eleven,Convenience Store,4507 NE 60th Ave,201
"45.553917,-122.6020709",Autozone,n/a,4458 NE Cully Blvd,190
"45.553917,-122.6020709",Spirits Pub,Cocktail Bar,4037 NE Cully Blvd,217
"45.553917,-122.6020709",Green Oasis,Cannabis Store,3944 NE Cully Blvd,297
"45.553917,-122.6020709",Eastside Motorcycle Co,Motorcycle Dealership,3939 NE Cully Blvd,301
"45.553917,-122.6020709",Fire On The Mountain,Pizzeria,3443 NE 57th Ave,686
"45.51658489,-122.6160378",Horse Brass Pub,Pub,4534 SE Belmont St,40
"45.51658489,-122.6160378",Movie Madness Video & More,Video Store,4320 SE Belmont St,99
"45.51658489,-122.6160378",Viking Soul Food,Southern Food Restaurant,4262 SE Belmont St,179
"45.51658489,-122.6160378",Never Coffee,Coffee Shop,4243 SE Belmont St,208
"45.51658489,-122.6160378",Brazilian House,Brazilian Restaurant,4255 SE Belmont St,185
"45.51658489,-122.6160378",Belmont Station,Beer Bar,4500 SE Stark St,272
"45.51658489,-122.6160378",Sivalai Thai Restaurant,Thai Restaurant,4806 SE Stark St,368
"45.51658489,-122.6160378",Portland Nursery,Garden Center,5050 SE Stark St,478
"45.51658489,-122.6160378",Por Que No,American Restaurant,4635 SE Hawthorne Blvd,515
"45.51658489,-122.6160378",Zach's Shack,Hot Dog Joint,4611 SE Hawthorne Blvd,506
"45.49333654,-122.6233971",Gladstone Coffee,Pizzeria,3813 SE Gladstone St,14
"45.49333654,-122.6233971",Gladstone Street Pub,Lounge,3737 SE Gladstone St,31
