bike_station_location,name,main_category_x,address,price,rating,review_count,status,distance_away_x,main_category_y,latitude,longitude,num_of_bikes
"45.51195046,-122.6141596",Apizza Scholls,Pizza,4741 SE Hawthorne Blvd,$$,4.0,1735,Open,82.51827717190247,Pizzeria,45.51195046,-122.6141596,3
"45.51195046,-122.6141596",Sapphire Hotel,Lounges,5008 SE Hawthorne Blvd,$$,4.5,487,Open,225.7936725004157,Cocktail Bar,45.51195046,-122.6141596,3
"45.51195046,-122.6141596",East Side Delicatessen,Delis,4626 SE Hawthorne Blvd,$,4.0,408,Open,33.46106830531426,Deli,45.51195046,-122.6141596,3
"45.51195046,-122.6141596",Zach's Shack,Fast Food,4611 SE Hawthorne Blvd,$,3.5,270,Open,58.98761878884557,Hot Dog Joint,45.51195046,-122.6141596,3
"45.54827571,-122.6111636",Noho's Hawaiian Cafe,Hawaiian,4627 NE Fremont St,$$,4.0,374,Open,340.5973570979499,Café,45.54827571,-122.6111636,6
"45.54827571,-122.6111636",Jim & Patty's Coffee,Coffee & Tea,4951 NE Fremont St,$$,4.0,268,Open,39.71059629900574,Café,45.54827571,-122.6111636,6
"45.54827571,-122.6111636",Fire On The Mountain,Barbeque,3443 NE 57th Ave,$$,3.5,599,Open,471.7238081478068,Pizzeria,45.54827571,-122.6111636,6
"45.553917,-122.6020709",Cully Central,Beer Gardens,4579 NE Cully Blvd,$$,5.0,208,Open,323.0375715370634,Beer Garden,45.553917,-122.6020709,6
"45.553917,-122.6020709",Bison Coffee House,Coffee & Tea,3941 NE Cully Blvd,$,4.5,158,Open,293.260540701753,Coffee Shop,45.553917,-122.6020709,6
"45.553917,-122.6020709",Fire On The Mountain,Barbeque,3443 NE 57th Ave,$$,3.5,599,Open,692.9414011437761,Pizzeria,45.553917,-122.6020709,6
"45.51658489,-122.6160378",Horse Brass Pub,British,4534 SE Belmont St,$$,4.0,729,Open,59.111547217092806,Pub,45.51658489,-122.6160378,3
"45.51658489,-122.6160378",Brazilian House,Food Trucks,4255 SE Belmont St,$,4.5,96,Open,176.66470472675385,Brazilian Restaurant,45.51658489,-122.6160378,3
"45.51658489,-122.6160378",Sivalai Thai Restaurant,Thai,4806 SE Stark St,$$,4.5,957,Open,355.5759959317808,Thai Restaurant,45.51658489,-122.6160378,3
"45.51658489,-122.6160378",Never Coffee,Coffee & Tea,4243 SE Belmont St,$$,4.0,185,Open,204.70453498666595,Coffee Shop,45.51658489,-122.6160378,3
"45.51658489,-122.6160378",Belmont Station,Beer Gardens,4500 SE Stark St,$$,4.0,298,Open,281.1551357036332,Beer Bar,45.51658489,-122.6160378,3
"45.49333654,-122.6233971",Cafe Rowan,Breakfast & Brunch,4437 SE Cesar E Chavez Blvd,$$,4.5,219,Open,315.240579103204,Café,45.49333654,-122.6233971,3
"45.49333654,-122.6233971",Coffee Beer,Coffee & Tea,4142 SE 42nd Ave,$$,4.5,61,Open,366.8240564586952,Beer Bar,45.49333654,-122.6233971,3
"45.50280906,-122.6535398",Virtuous Pie,Pizza,1126 SE Division St,$$,4.5,406,Open,211.880699787148,Pizzeria,45.50280906,-122.6535398,10
"45.50280906,-122.6535398",Pine State Biscuits,Breakfast & Brunch,1100 SE Division St,$$,4.5,1312,Open,230.83123146364596,Breakfast Spot,45.50280906,-122.6535398,10
"45.50280906,-122.6535398",Double Dragon,Sandwiches,1235 SE Division St,$$,4.0,487,Open,241.87099172931676,Cocktail Bar,45.50280906,-122.6535398,10
"45.50280906,-122.6535398",Palomar,Cocktail Bars,959 SE Division St,$$,4.0,223,Open,359.2944277826513,Cocktail Bar,45.50280906,-122.6535398,10
"45.50280906,-122.6535398",The Baker's Mark,Sandwiches,1126 SE Division St,$,4.5,271,Open,187.8284196509748,Fast Food Restaurant,45.50280906,-122.6535398,10
"45.50280906,-122.6535398",Original Hotcake House,Diners,1002 SE Powell Blvd,$$,3.5,610,Open,245.5036731135454,Dining and Drinking,45.50280906,-122.6535398,10
"45.52175423,-122.6810794",Deschutes Brewery Portland Public House,Brewpubs,210 NW 11th Ave,$$,4.0,3487,Open,325.5009757903132,Bar,45.52175423,-122.6810794,17
"45.50512504,-122.6533681",Double Dragon,Sandwiches,1235 SE Division St,$$,4.0,487,Open,20.865821939132324,Cocktail Bar,45.50512504,-122.6533681,18
"45.50512504,-122.6533681",Virtuous Pie,Pizza,1126 SE Division St,$$,4.5,406,Open,73.35755901402486,Pizzeria,45.50512504,-122.6533681,18
"45.50512504,-122.6533681",Palomar,Cocktail Bars,959 SE Division St,$$,4.0,223,Open,240.23839788781652,Cocktail Bar,45.50512504,-122.6533681,18
"45.50512504,-122.6533681",Pine State Biscuits,Breakfast & Brunch,1100 SE Division St,$$,4.5,1312,Open,100.79624021239522,Breakfast Spot,45.50512504,-122.6533681,18
"45.50512504,-122.6533681",Deadshot,Cocktail Bars,2133 SE 11th Ave,$$,4.5,86,Open,277.3393815467205,Cocktail Bar,45.50512504,-122.6533681,18
"45.50512504,-122.6533681",The Baker's Mark,Sandwiches,1126 SE Division St,$,4.5,271,Open,90.02804021232927,Fast Food Restaurant,45.50512504,-122.6533681,18
"45.50356665,-122.6395279",Jacqueline,Cocktail Bars,2039 SE Clinton St,$$,4.5,381,Open,412.02321566706365,Cocktail Bar,45.50356665,-122.6395279,6
"45.50356665,-122.6395279",Nuestra Cocina,Mexican,2135 SE Division St,$$,4.5,621,Open,372.2700548588195,Latin American Restaurant,45.50356665,-122.6395279,6
"45.50356665,-122.6395279",Mestizo,Latin American,2910 SE Division St,$$,4.5,168,Open,341.03974583406296,Bar,45.50356665,-122.6395279,6
"45.50356665,-122.6395279",Reel M Inn,American (Traditional),2430 SE Division St,$$,4.0,412,Open,143.1046446724657,Dive Bar,45.50356665,-122.6395279,6
"45.50356665,-122.6395279",Yama Sushi & Izakaya,Sushi Bars,2038 SE Clinton St,$$,4.0,513,Open,404.9468222756655,Tapas Restaurant,45.50356665,-122.6395279,6
"45.50356665,-122.6395279",Bollywood Theater,Indian,3010 SE Division St,$$,4.0,773,Open,412.2234744256388,Indian Restaurant,45.50356665,-122.6395279,6
"45.51623176,-122.6360679",Ken's Artisan Pizza,Pizza,304 SE 28th Ave,$$,4.5,893,Open,493.6229876742035,Pizzeria,45.51623176,-122.6360679,14
"45.51623176,-122.6360679",Bare Bones Cafe & Bar,Bars,2908 SE Belmont St,$$,4.0,247,Open,14.165582222706671,Dining and Drinking,45.51623176,-122.6360679,14
"45.51623176,-122.6360679",Baby Doll Pizza,Pizza,2835 SE Stark St,$$,4.5,522,Open,367.7402751398562,Pizzeria,45.51623176,-122.6360679,14
"45.51623176,-122.6360679",Mirisata,Sri Lankan,2420 SE Belmont St,$$,4.5,164,Open,384.470148448392,Sri Lankan Restaurant,45.51623176,-122.6360679,14
"45.51147657,-122.6662856",Shalom Y'all Restaurant,Middle Eastern,117 SE Taylor St,$$,4.5,346,Open,450.6803886086741,Israeli Restaurant,45.51147657,-122.6662856,16
"45.51844688,-122.651685",Nostrana,Italian,1401 SE Morrison St,$$$,4.0,1130,Open,89.80821221428094,Pizzeria,45.51844688,-122.651685,18
"45.51844688,-122.651685",The Roof Deck at Revolution Hall,Bars,1300 SE Stark St,$$,4.0,125,Open,66.44083296005495,Bar,45.51844688,-122.651685,18
"45.51515295,-122.665776",Shalom Y'all Restaurant,Middle Eastern,117 SE Taylor St,$$,4.5,346,Open,100.87377271922225,Israeli Restaurant,45.51515295,-122.665776,10
"45.51645917,-122.6189983",Horse Brass Pub,British,4534 SE Belmont St,$$,4.0,729,Open,285.04075753941504,Pub,45.51645917,-122.6189983,11
"45.51645917,-122.6189983",Brazilian House,Food Trucks,4255 SE Belmont St,$,4.5,96,Open,55.61416589841365,Brazilian Restaurant,45.51645917,-122.6189983,11
"45.51645917,-122.6189983",Never Coffee,Coffee & Tea,4243 SE Belmont St,$$,4.0,185,Open,42.425482214846895,Coffee Shop,45.51645917,-122.6189983,11
"45.52373453,-122.6372065",Stammtisch,German,401 NE 28th Ave,$$,4.5,517,Open,237.53723048363685,Gastropub,45.52373453,-122.6372065,5
"45.52373453,-122.6372065",Cheese & Crack Snack Shop,Cheese Shops,22 SE 28th Ave,$$,4.5,547,Open,143.68656737880937,American Restaurant,45.52373453,-122.6372065,5
"45.52536699,-122.6725459",Lechon,Tapas Bars,113 SW Naito Pkwy,$$$,4.5,1825,Open,470.6340668760817,American Restaurant,45.52536699,-122.6725459,14
"45.52536699,-122.6725459",Lan Su Chinese Garden,Botanical Gardens,239 NW Everett St,,4.5,664,Open,42.48091377905369,Chinese Restaurant,45.52536699,-122.6725459,14
