bike_station_location,name,main_category,address,price,rating,review_count,status,distance_away
"45.51195046,-122.6141596",Baka Umai,Noodles,4703 SE Hawthorne Blvd,n/a,4.5,164,Open,31.189958318730877
"45.51195046,-122.6141596",Por Qué No? Taqueria,Mexican,4635 SE Hawthorne Blvd,$$,4.0,1357,Open,21.91246429620608
"45.51195046,-122.6141596",Apizza Scholls,Pizza,4741 SE Hawthorne Blvd,$$,4.0,1735,Open,82.51827717190247
"45.51195046,-122.6141596",Sapphire Hotel,Lounges,5008 SE Hawthorne Blvd,$$,4.5,487,Open,225.7936725004157
"45.51195046,-122.6141596",Khao Thai,Thai,4604 SE Hawthorne Blvd,n/a,4.5,72,Open,65.89130942056524
"45.51195046,-122.6141596",Toji Korean Grill House,Korean,4615 SE Hawthorne Blvd,$$,3.5,289,Open,55.41969153840635
"45.51195046,-122.6141596",3 Doors Down Cafe & Lounge,Italian,1429 SE 37th Ave,$$$,4.5,405,Open,930.3096662045485
"45.51195046,-122.6141596",QuarterWorld Arcade,Arcades,4811 SE Hawthorne Blvd,$,4.0,148,Open,112.6270077916498
"45.51195046,-122.6141596",East Side Delicatessen,Delis,4626 SE Hawthorne Blvd,$,4.0,408,Open,33.46106830531426
"45.51195046,-122.6141596",Zach's Shack,Fast Food,4611 SE Hawthorne Blvd,$,3.5,270,Open,58.98761878884557
"45.51195046,-122.6141596",The Whole Bowl,Vegetarian,4526 SE Hawthorne,$,4.5,283,Open,105.95675525608546
"45.51195046,-122.6141596",Horse Brass Pub,British,4534 SE Belmont St,$$,4.0,729,Open,500.3191558462682
"45.51195046,-122.6141596",The Cavern,Whiskey Bars,4601 SE Hawthorne Blvd,$$,4.5,45,Open,69.64869014850808
"45.51195046,-122.6141596",Dwaraka Indian Cuisine,Indian,3962 SE Hawthorne Blvd,$$,4.0,556,Open,574.6191588238115
"45.51195046,-122.6141596",Short Round,Vietnamese,3962 SE Hawthorne Blvd,$$,4.0,169,Open,583.1263490592119
"45.51195046,-122.6141596",My Vice Food & Spirits,American (New),2035 SE Cesar Chavez Blvd,$$,4.5,110,Open,798.5214088187662
"45.51195046,-122.6141596",Bamboo House,Vietnamese,4005 SE Hawthorne Blvd,$$,4.5,157,Open,558.1270276187404
"45.51195046,-122.6141596",Bete-Lukas Ethiopian Restaurant,Ethiopian,2504 SE 50th Ave,$$,4.5,512,Open,842.088553456805
"45.51195046,-122.6141596",JaCiva's Bakery,Bakeries,4733 SE Hawthorne Blvd,$$,4.0,246,Open,71.79990587161852
"45.51195046,-122.6141596",Next Level Burger,Burgers,4121 SE Hawthorne Blvd,$$,4.0,409,Open,431.1824511790976
"45.54827571,-122.6111636",Noho's Hawaiian Cafe,Hawaiian,4627 NE Fremont St,$$,4.0,374,Open,340.5973570979499
"45.54827571,-122.6111636",Bang Bang,Thai,4727 NE Fremont,$$,4.0,258,Open,254.9235950821997
"45.54827571,-122.6111636",Hi-Top Tavern,Bars,5015 NE Fremont St,n/a,4.5,59,Open,38.461763916891876
"45.54827571,-122.6111636",Pip's Original Doughnuts & Chai,Coffee & Tea,4759 NE Fremont St,$,4.5,3029,Open,206.62374906595457
"45.54827571,-122.6111636",Red Sauce Pizza,Pizza,4641 NE Fremont St,$$,4.5,274,Open,316.15215513597775
"45.54827571,-122.6111636",Dirty Lettuce,Vegan,4727 NE Fremont St,$$,4.5,111,Open,245.46642133586028
